pass,forwardresult,backresult,profit,expectedpayoff,profitfactor,recoveryfactor,sharperatio,custom,equityddpercent,trades,slatrmultiplier,tpatrmultiplier,takeprofitpercent,rsibuybelow,rsisellabove,maxdrawdown,winrate,symbol,timeframe,is_start,is_end,oos_start,oos_end
725,99.79,74.03,2176.1,27.20125,2.100035,8.366076,19.455153,0,2.4324,80,2.0,2.0,50,35,79,2.4324,99.79,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3339,99.74,83.59,2124.82,26.896456,2.075423,5.932931,19.480411,0,3.0702,79,2.0,2.0,50,35,80,3.0702,99.74,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
4114,99.68,69.02,2388.1,25.957609,2.023916,7.588015,19.149649,0,2.6505,92,2.0,2.0,50,36,75,2.6505,99.68,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
944,99.67,83.92,2118.54,25.835854,2.029082,6.749092,19.784731,0,3.0918,82,2.0,2.0,50,34,75,3.0918,99.67,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,99.60,82.64,2265.97,25.177444,1.996912,5.372016,17.90988,0,3.7013,90,2.0,2.0,50,35,71,3.7013,99.6,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2354,99.59,90.59,2261.87,25.131889,1.995033,5.362296,17.932329,0,3.7027,90,2.0,2.0,50,35,72,3.7027,99.59,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1535,99.57,78.58,2381.65,25.07,1.986248,5.967851,18.652635,0,3.6905,95,2.0,2.0,50,36,71,3.6905,99.57,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1659,99.56,86.03,2377.55,25.026842,1.984481,5.896994,18.671916,0,3.7284,95,2.0,2.0,50,36,72,3.7284,99.56,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3095,99.51,86.34,2196.86,24.68382,1.970006,5.208174,17.800833,0,3.7252,89,2.0,2.0,50,35,73,3.7252,99.51,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3847,99.39,80.18,1854.48,24.401053,1.953671,5.907869,19.789682,0,3.0837,76,2.0,2.0,50,34,79,3.0837,99.39,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1119,99.36,76.42,1731.73,25.846716,2.104082,4.502678,18.942704,0,3.8183,67,2.0,2.0,50,29,72,3.8183,99.36,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,99.35,82.70,2238.19,24.066559,1.930613,5.306912,18.458013,0,3.6921,93,2.0,2.0,50,36,73,3.6921,99.35,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3575,99.35,72.95,2007.67,24.188795,1.931111,8.098056,17.417764,0,2.3428,83,2.0,2.0,50,35,78,2.3428,99.35,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1853,99.32,69.83,2043.68,24.329524,1.927234,4.949696,19.161444,0,3.5444,84,2.0,2.0,50,36,80,3.5444,99.32,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3488,99.28,75.05,1679.05,23.986429,1.983845,3.749051,19.390648,0,4.0912,70,2.0,2.0,50,30,71,4.0912,99.28,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2293,99.27,81.90,1674.95,23.927857,1.981345,3.739896,19.410442,0,4.0927,70,2.0,2.0,50,30,72,4.0927,99.27,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3850,99.08,83.65,2228.31,22.972268,1.885614,4.405864,18.295558,0,4.7007,97,2.0,2.0,50,37,73,4.7007,99.08,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3058,99.03,81.17,1602.22,23.22058,1.939421,3.577502,19.184779,0,4.1164,69,2.0,2.0,50,30,73,4.1164,99.03,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3976,98.97,82.87,1632.72,25.51125,2.086748,4.291549,20.534479,0,3.7771,64,2.0,2.0,50,28,72,3.7771,98.97,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,98.94,88.79,1956.62,22.489885,1.865459,4.52827,17.929251,0,3.8846,87,2.0,2.0,50,34,72,3.8846,98.94,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2233,98.72,81.74,2210.74,22.1074,1.840905,4.26825,18.443843,0,4.7536,100,2.0,2.0,50,39,73,4.7536,98.72,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,98.72,78.96,1564.92,24.84,2.047442,4.123093,20.3262,0,3.7682,63,2.0,2.0,50,28,73,3.7682,98.72,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,98.45,76.45,2050.29,22.046129,1.812933,4.505538,16.67195,0,4.2064,93,2.0,2.0,50,36,74,4.2064,98.45,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
780,98.38,82.31,1469.13,23.695645,1.992622,4.328864,19.357414,0,3.3694,62,2.0,2.0,50,27,72,3.3694,98.38,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,98.27,74.15,1390.36,21.724375,1.88218,4.638244,8.296382,0,2.9610,64,4.8,3.7,72,32,60,2.961,98.27,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1999,98.19,79.59,1686.32,21.345823,1.793152,5.277997,17.073735,0,3.1688,79,2.0,2.0,50,34,78,3.1688,98.19,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,98.10,82.02,1589.23,20.910921,1.792475,3.755802,16.05425,0,3.9217,76,2.0,2.0,50,32,72,3.9217,98.1,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
801,98.10,65.76,1589.03,20.908289,1.792439,3.755329,16.017324,0,3.9218,76,2.0,2.0,50,32,71,3.9218,98.1,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,97.97,69.05,2063.45,21.055612,1.774345,5.583381,17.458256,0,3.4376,98,2.0,2.0,50,39,77,3.4376,97.97,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3906,97.86,78.04,1355.68,21.51873,1.853037,3.982258,17.476978,0,3.1463,63,2.0,2.0,50,27,71,3.1463,97.86,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2199,97.81,61.31,1913.69,20.800978,1.763686,5.354776,16.72817,0,3.3804,92,2.0,2.0,50,37,78,3.3804,97.81,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,97.36,86.55,1339.49,22.324833,1.891674,4.433342,17.451208,0,2.7668,60,2.0,2.0,50,25,72,2.7668,97.36,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1459,97.34,84.33,1830.05,20.11044,1.737249,4.050127,14.800575,0,4.3094,91,2.0,2.0,50,36,69,4.3094,97.34,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2280,97.25,77.49,1354.15,22.569167,1.894785,3.342837,17.493869,0,3.7794,60,2.0,2.0,50,27,74,3.7794,97.25,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1574,97.05,86.82,1372.48,23.262373,1.915023,3.593162,8.571371,0,3.4304,59,4.9,4.9,57,33,61,3.4304,97.05,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2715,96.95,61.77,1355.27,22.970678,1.905118,3.419118,18.562468,0,3.6218,59,2.0,2.0,50,30,78,3.6218,96.95,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1793,96.74,35.15,1802.48,26.122899,1.721015,4.545519,14.402028,0,3.9084,69,2.0,2.0,81,34,77,3.9084,96.74,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,96.63,85.00,1720.87,19.555341,1.706273,3.404427,15.383649,0,4.4576,88,2.0,2.0,50,32,63,4.4576,96.63,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2074,96.63,73.40,1313.84,19.906667,1.726107,4.385607,14.583435,0,2.7917,66,2.0,2.0,50,32,75,2.7917,96.63,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3520,96.46,83.74,1306.18,22.138644,1.854589,3.130224,16.719241,0,3.8554,59,2.0,2.0,50,26,74,3.8554,96.46,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,96.40,85.57,2006.45,19.480097,1.690715,4.991045,15.23105,0,3.4510,103,2.0,2.0,50,36,63,3.451,96.4,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2871,96.38,83.64,1098.08,18.301333,1.793141,3.474057,7.001526,0,3.1217,60,5.1,3.5,71,32,60,3.1217,96.38,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
666,96.38,84.74,1223.75,20.741525,1.820461,4.014401,18.347179,0,3.0264,59,2.0,2.0,50,24,73,3.0264,96.38,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2285,96.29,34.18,1723.76,26.117576,1.713409,3.618152,14.54585,0,4.1877,66,2.0,2.0,81,34,79,4.1877,96.29,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
4124,96.23,84.65,2067.49,19.322336,1.683418,5.581324,15.350924,0,3.3670,107,2.0,2.0,50,36,62,3.367,96.23,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1014,96.12,87.94,1658.41,18.845568,1.682692,3.534925,13.086044,0,4.5573,88,2.0,2.0,50,35,69,4.5573,96.12,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1714,96.00,86.26,1346.42,18.963662,1.715579,2.769557,14.802661,0,4.8265,71,2.0,2.0,50,28,69,4.8265,96.0,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,95.98,76.86,1229.55,20.156557,1.763032,2.987826,15.681121,0,3.7671,61,2.0,2.0,50,25,71,3.7671,95.98,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3908,95.80,80.05,1420.71,18.450779,1.670561,3.660586,15.176858,0,3.5817,77,2.0,2.0,50,30,67,3.5817,95.8,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
545,95.78,80.07,1357.59,24.242679,2.026766,4.756964,8.286431,0,2.8149,56,4.9,3.0,93,39,61,2.8149,95.78,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1127,95.67,64.68,1810.05,18.469898,1.664117,3.646721,15.442996,0,4.5767,98,2.0,2.0,50,40,71,4.5767,95.67,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2544,95.65,69.13,1671.27,18.991705,1.661755,4.095246,15.651171,0,3.5518,88,2.0,2.0,50,38,80,3.5518,95.65,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2441,95.64,82.64,1942.42,18.324717,1.661029,4.622388,15.990963,0,3.8672,106,2.0,2.0,50,40,64,3.8672,95.64,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
168,95.40,83.19,2082.75,28.927083,1.665643,4.105559,11.964611,0,4.5423,72,2.0,2.4,86,23,62,4.5423,95.4,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,95.30,45.23,1639.77,23.095352,1.657539,3.645797,13.927005,0,3.8142,71,2.0,2.0,70,38,79,3.8142,95.3,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
571,95.28,68.80,1790.41,18.457835,1.647768,4.817722,15.089449,0,3.5980,97,2.0,2.0,50,40,75,3.598,95.28,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2905,95.22,81.46,1374.99,17.857013,1.653776,3.241983,13.548175,0,3.9760,77,2.0,2.0,50,32,69,3.976,95.22,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3683,95.20,72.76,1435.19,18.166962,1.649998,3.423804,14.905494,0,3.9054,79,2.0,2.0,50,33,73,3.9054,95.2,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3526,95.13,62.29,1495.68,27.194182,2.147179,4.563618,22.536649,0,2.9356,55,2.0,2.0,50,30,80,2.9356,95.13,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
827,95.10,79.91,1438.15,26.148182,2.114309,5.192252,19.732025,0,2.6010,55,2.0,2.0,50,27,75,2.601,95.1,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,95.02,83.84,1758.86,18.321458,1.642318,3.477657,14.616604,0,4.6730,96,2.0,2.0,50,38,73,4.673,95.02,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2024,94.97,86.77,1633.33,18.148111,1.641631,3.378348,12.819651,0,4.4178,90,2.0,2.0,50,35,68,4.4178,94.97,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1708,94.97,84.01,2001.96,33.931525,1.742776,5.419491,12.935059,0,3.0565,59,2.0,3.6,64,25,65,3.0565,94.97,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3128,94.86,85.11,1546.2,17.772414,1.635029,3.793983,14.710826,0,3.9976,87,2.0,2.0,50,31,66,3.9976,94.86,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1841,94.75,59.05,1710.96,24.442286,1.650845,3.02648,12.95162,0,4.9230,70,2.0,2.0,78,35,80,4.923,94.75,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3034,94.70,82.77,1690.84,17.98766,1.631198,3.497735,13.447666,0,4.3725,94,2.0,2.0,50,36,68,4.3725,94.7,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2483,94.58,85.94,1030.59,18.080526,1.762276,3.557562,6.922767,0,2.8591,57,5.2,3.8,67,32,60,2.8591,94.58,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1956,94.55,45.04,1696.29,24.232714,1.644837,3.000531,12.969002,0,4.9293,70,2.0,2.0,79,35,80,4.9293,94.55,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
930,94.27,73.88,1232.78,20.209508,1.758671,2.432142,6.891377,0,5.0166,61,4.2,3.4,70,40,67,5.0166,94.27,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2128,94.23,78.45,2314.99,32.605493,1.666418,3.341161,11.296807,0,6.7472,71,2.0,3.5,70,34,62,6.7472,94.23,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2091,94.21,83.36,1743.45,29.0575,1.67766,4.703002,12.564118,0,3.6376,60,2.0,3.6,55,28,66,3.6376,94.21,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3220,94.16,91.67,1691.69,21.688333,1.630825,2.873456,13.899837,0,5.0646,78,2.0,2.0,63,30,61,5.0646,94.16,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2966,93.72,39.44,1585.13,22.325775,1.605534,3.984641,13.179089,0,3.9273,71,2.0,2.0,76,34,76,3.9273,93.72,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1468,93.65,84.86,1474.4,17.144186,1.605682,3.073203,13.301447,0,4.6899,86,2.0,2.0,50,34,68,4.6899,93.65,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
